0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
I sent email.,Pls add opening odd Starting odd giving teams match prematch Odd odd giving teams match starts.,I see prematch odd.,,,,,,,,,,,,
Best live results service football however changing sport topic automatically changes date currently on little irritating small negative.,,,,,,,,,,,,,,
I prefer recommend app amazing features But I need put match tracker like simulation match tracker make fun like livescore app Kudosclapping hands,,,,,,,,,,,,,,
I like app I use always please add options like hide leagues I choose league I want see app.,Please add options tones like goalscorer etc thanks.,,,,,,,,,,,,,
I am much interested app.,More often we are watching football match tv ability display big chance make us use app become aware impending goal much earlier colleagues use app.,You work match day seperate standings I desire check match day standings reference sake matchday day I would shown outcome matchday seperately including top scorers top assist,,,,,,,,,,,,
This best live score app due extensive information regarding players teams.,A visual adjustments needed stars e.g.,game summary details needs clearly separated teams event.,Currently kind confusing someone used format I first using app.,,,,,,,,,,,
The tennis homepage show strongest tournament currently played already case website version.,,,,,,,,,,,,,,
Great app fast.,It nonleague cup games though.,Football Web Pages better regard.,,,,,,,,,,,,
Good app....,When compared LiveScore Sofa app delay sometime notification work properly good useful app.,,,,,,,,,,,,,
Great live football scores.,Also good snooker scores show points score frame would gave given stars.,,,,,,,,,,,,,
Great app even rugby league scores it.,Would better included womens teams though.,,,,,,,,,,,,,
A great good reliable app gives fast accurate Football Goals also score lines.,,,,,,,,,,,,,,
scoregoal updates slow compared apps would also need good data managers previous management like players,,,,,,,,,,,,,,
Great fantastic app little problem times listen commentry match ended commentry keeps run minutes stopped.,,,,,,,,,,,,,,
Very much better former easy navigate quickly make findings soon possible,,,,,,,,,,,,,,
I like app much match played I know find already played teams.,,,,,,,,,,,,,,
I enjoy flash score problem I find golf matchplay say up up etc .,something like matchplay scores go.,Darren,,,,,,,,,,,,
Great app.. still best far.,You expand basketball games adding stats details football like goal kicks live match trackers momentums,,,,,,,,,,,,,
This great live score app.,But one thing I problem is sometimes take long updating us activities games postponement lineups etc.,Your competitors faster terms guys.,Please work that.,,,,,,,,,,,
Really useful app.,Is prone crashing android.,Works perfectly iOS.,,,,,,,,,,,,
The app nice....,It is provide you good odds fast results clear analysis games ..,,,,,,,,,,,,,
Very good accurate fast goal...,Please try make matches available videos...,,,,,,,,,,,,,
Really good app useful follow lot leagues.,Would nice could include English non league fixtures also increase amount favourites have.,,,,,,,,,,,,,
Great app needs premium version like apps get rid annoying adds,,,,,,,,,,,,,,
Great app sports scores plus follow favourite teamssports.,,,,,,,,,,,,,,
Good need improve live watching games like Aiscore....we want also watch live matches,,,,,,,,,,,,,,
flashscore one app goodbut I suggest delete audio commentary annoying thanks thumbs,,,,,,,,,,,,,,
I downloaded yesterday I am already enjoying best offers.,But things missing It show many INJURY TIME given.,It would also nice shows COUNTDOWN next Halve starts.,Thanks Keep good work thumbs upclapping hands,,,,,,,,,,,
It is awesome application however I receive notifications anymore favorite matches,,,,,,,,,,,,,,
It easy use push notifications time,,,,,,,,,,,,,,
It good app helped see matches head head history team,,,,,,,,,,,,,,
The best sport app available planet.,Indeed kudos developers great Job.,,,,,,,,,,,,,
Wonderful app show full table information It shows Games PlayedGoals forGoals Points.,,,,,,,,,,,,,,
Used app bad try set notification sound,,,,,,,,,,,,,,
The best app around I would like selected leagues rest world.,If so would stars,,,,,,,,,,,,,
Exceptional dependable app excellent sports coverage.,However kindly increase number selectable My Teams.,It is annoying reaching maximum soon.,,,,,,,,,,,,
I love app find useful daytoday sports trading activities.,However sync issue app desktop version.,Whenever I select games app takes long sync desktop version.,It syncs seamlessly I selections web version.,You need fix bug causing delay kind annoying.,Thank you.,,,,,,,,,
Same lot comments I would like see detail league table ie games won drawn lost.,I understand might available due space restrictions mobile phones portrait mode could visible rotating landscape currently large blank space left team names playedpoints.,Other that good app.,,,,,,,,,,,,
Just perfect using years.,I want ability pay ad free version app I hate adverts pc phone.,Would not mind paying couple quid adfree version.,On nonrooted phone cannot install adblocker I think.,Apart solid app.,Great selection sports updates timely.,,,,,,,,,
It is really hard follow NFL match app.,The gametime counted down counted up.,Some essential info timeouts left field position every play live commentary missing.,And lineups much use players stats game.,I really hope step coverage next season.,american footballamerican football,,,,,,,,,
Your app one best there Because recent update.,Just like I have read encountered using app.,The notification sounds comes goal scored And disallowed same It changed.,Aside that app perfect interface looks smoothsmiling face sunglasses,,,,,,,,,,,
Easy check score updates even put favorites pop screen score,,,,,,,,,,,,,,
Great app.,Has every sport game I need.,Super quick updates information.,Only star I would like ad free version.,Although ads intrusive.,,,,,,,,,,
A really good app needs additional features like.... . A collapse button live score page. . A penalty awarded indication also live score page.,After stars assured,,,,,,,,,,,,,
Easy find favourite league fast notify me.,Nice,,,,,,,,,,,,,
It is great app one thing that is missing football players assists career stats.,I care many yellow cards they have season I would rather see amount assists.,I would love game also A circle showing got assist game example.,Also football tables need WDL goals against.,,,,,,,,,,,
Flashscore South Africa updated scores.,I absolutely love appreciate app,,,,,,,,,,,,,
Very nice app problem lineups teams.,Indeed team disposition always correct.,But rest perfect,,,,,,,,,,,,
Great interface seamless navigation timely score updates reasonable file size well.,I love much keep good work.,Edit new update definitely take getting used to.,I feel fonts smaller though great old one.,Taking one star I gave .,,,,,,,,,,
Very good app problem matches favourite notify goal something like old one.,I think work that.,That reason stars,,,,,,,,,,,,
Always updated best information.,,,,,,,,,,,,,,
Best app scores I found used.,My issue score display correctly Huawei smart watch another scores app does sure why.,,,,,,,,,,,,,
Very nice Football stats app.,Although asks reload everytime slight network issue.,I still like app features,,,,,,,,,,,,
It is absolutely best App sporting scores.,It even goes ahead television views.,Great work indeed.,,,,,,,,,,,,
Since started using app I have never refretyiy The name Flash Score starstruckstarstruck best name b given app cos fast terms uploading scores line ups pre match post match analysis Kudos dis app heart suitheart suitheart suit,,,,,,,,,,,,,,
I love app consume less data accurate statistics provide statistic league like Bulgaria Albania etc please add possession lost stat.,,,,,,,,,,,,,,
Good apps i am really like look watch matches online..I am please expected goal added you need give statistic matches..anyway continue,,,,,,,,,,,,,,
I like app easy operate also give reqires details matches I love app.,,,,,,,,,,,,,,
I love fact I access matches stats all.,Also app loads effortlessly.,We will done.,,,,,,,,,,,,
Disappointing since last software update.,When click match teams highlighted division standing.,One team takes time locate division highlighting sufficient it used old system.,Your customers year olds perfect eyesight.,,,,,,,,,,,
Great app.,No ads popping pages.,Fast easy use,,,,,,,,,,,,
Great app handy scores standings would nice could update scores tell scorer quicker,,,,,,,,,,,,,,
I would give stars provide option filter odds.,It would help lot.,,,,,,,,,,,,,
It good app showing matches odds related betting app,,,,,,,,,,,,,,
like comes analysis simple easy use,,,,,,,,,,,,,,
It is easier view makes understand scores date different,,,,,,,,,,,,,,
This app efficient easy app use football research anyone.,,,,,,,,,,,,,,
Only four stars time good email especially business.,Although could options available attaching documents like video clips longer duration period time single email like power point presentation Because I think option like would really awesome But thank much making great operating email app Bravo clapping hands I would say got Google running money one.,winking face,,,,,,,,,,,,
Been using years.,It is well thought out.,I upset enraged face changed recently I could combine another email app I used move emails one area.,I used outlook together emails email work app I am sure I pull email apps outlook one place.,,,,,,,,,,,
I wish would add features like ability view add modify photos signatures.,The app likes freeze bit causing forced stop app.,When press mark read notifications sometimes works sometimes does not.,It is picky wants work not.,Overall good app issues simple test would revealed main branch rollout.,I wish would take time test it....,,,,,,,,,
Experience generally good convenient mail calendar contacts files accessible app although full feature parity desktop app handles critical items.,Some may find little less effective native mail app device I think everything together worth tradeoff.,,,,,,,,,,,,,
Outlook badass.,Outlook waaaay better Gmail.,I love different features Outlook has.,I love different ways report junk.,It would nice you could select multiple senders block multiple senders instead one time.,I like there is sound sending emaiIs like texting.,That is cool.,I am confused you cannot edit categorize already you use categories emails eventsand contacts like says you app.,,,,,,,
A good program overall although strange quirks glitches there.,Part learning curve part.,The program offer quite bit customization probably better people find important.,Gmail worked fine me company changed Outlook past year.,,,,,,,,,,,
Excellent mobile productivity app.,Works seamlessly Microsoft MFA MS Teams well biometric login.,I really like focused inbox filter I wish way create new meetings calendar function rather appointments overall good app.,I encountered bugs connectivity issues.,,,,,,,,,,,
App works expected many years I Have using it.,Some settingsfeatures difficult find app desktop application MS online site.,Takes little time find I am looking for usually Google search solve issue.,Still could far worse Outlook I know apps features integrations.,,,,,,,,,,,
Outlook pretty good email platform.,I have account years nowsince back Hotmail.,First free overwhelming ads Second Outlook provides ample storage organization capabilities needs.,Four stars instead because lot good customization options platform great recognizing junk nonjunk vice versa.,,,,,,,,,,,
Having hunt find do disturb setting bit irritating.,It much quicker simpler update.,The update also includes constant ad bold print top messages can first glance look like unread email I assume intentional.,I complaints years I have used app feels kind skeevy cheap.,,,,,,,,,,,
I started Hotmail decades ago morphed Outlook I still it.,Although I several email accounts backups I Adept use I need to.,Plus I cannot really compare Outlook anything else worked long time I would recommend others.,Regarding Outlook Edge Etc I wish techs would quit messing stuff much.,Change sake change entertaining me.,,,,,,,,,,
Great interface wonderful accessible different platforms including Android phones Another positive aspect rather seamless integration OneDrive.,But.,one problem latest desktop version Outlook regressed especially search capability almost impossible perform detailed search email unlike previous version.,,,,,,,,,,,,
Overall app works well many adds Yahoo mail.,My biggest pet peeve opening app onscreen envelope flashes times opens.,I suppose let know app opening opening envelop flashing several times annoying.,I Gmail account I click mail goes straight it.,,,,,,,,,,,
Good app.,Only issue ability create rules folders app.,I rarely ever use computer I do I am thinking logging Outlook create rule.,It would make lot sense app included feature.,Otherwise I am happy it.,Update Rules seem working.,I have set work I run messages already inbox let alone I get new message follows rule.,,,,,,,,
I msn email address yrs gone many different changes it.,The Outlook app worked pretty well years I am able customize I want recently I started getting spam mail inbox multiple times daily I cannot figure fix it.,It is yrs later I came looking forward update I am issue pretty bad today.,Spam filter basically working all.,Please fix this.,,,,,,,,,,
Works good imap accounts.,Issues notifications app notify emails I read replied days.,It keeps telling I new email I expand notification emails I already read.,I open app new emails.,Other notification stuff app works great.,No ads simple clean interface.,Exactly I want.,Used galaxy note .,,,,,,,
I used outlookmicrosoft way back Hotmail popular lol.,I love I even want switch Gmail initially.,However past year amount spam coming focused inbox crazy.,I keep reporting blocking seem matter.,I would rate issue could please get resolved soon.,I reached also one ever followed me.,,,,,,,,,
Fairly good experience Outlook however I check emails phone register I have already checked I open Outlook computer.,Also times Outlook work provide emails weekend I check emails next day brings emails weekend.,It is mailbox full.,This happening often.,,,,,,,,,,,
I still prefer Outlook all.,I like features added draw email.,What I Do NOT LIKE I lost ability pdfs.,And forced open save etc edge via outlook.,I quick print chose print sides go black white rather color.,I full Adobe I work Bridge Adobe edit items.,If change PLEASE TELL ME HOW.,THIS IS A DAILY FRUSTRATION.,Updates also hold MY defaults preferences.,,,,,,
As M subscriber Outlook provides everything want email provider more.,You use app email account yes even Gmail many benefits.,The one always brings app email signatures.,You cannot embedded images half text customization desktop web interface.,Very frustrating.,,,,,,,,,,
Update The forced Bing Search option removed longer appears anywhere problem resolved Original Microsoft forcibly snuck Bing Search option context menu whenever select text anywhere whole phone.,Very shady move one wanted cannot even disabled.,I installed outlook email knockoff search engine,,,,,,,,,,,,
Communicating via email phone last thing I want do.,However care many emails I receive need read Outlook phone great.,I read commuting work train.,And since Outlook synced across devices anything I read phone marked read I open Outlook computer.,,,,,,,,,,,
Incredible I actually utilizing couple months currently well lifesaver.,I utilizing different email app past I switched Expectation due fact much far better.,The interface really easy utilize extremely quickly.,I like fact integrates various email accounts also.,I would absolutely recommend app anyone,,,,,,,,,,
I like user interface snappy intuitive.,I wish account modification capabilities desktop app PC though I wanted change password update email address I could directly app instead navigate browser version.,,,,,,,,,,,,,
I am biggest fan running everything phone Outlook easy install setup use frequently used emails I must admit I like lot.,The IMAP setups breeze.,The caveat limited sort criteria.,That I believe worked on.,,,,,,,,,,,
Great email interface.,Ability organize everything incoming outgoing VIP newsletters subscriptions Friends etc.,Only problem I try make certain incoming emails go certain folder based subject field sender follow guidelines others continually do not.,,,,,,,,,,,,
It works bit buggy.,I reenter credentials randomly.,My organisation makes us update passwords every months reason app lose cached information every week.,Scrolling long email chains also buggy.,I forward emails Google account read easily.,Edit Looks like they have corrected issue I reenter credentials.,,,,,,,,,
App great.,I dropped stars widget annoying quirk.,The calendar widget continually unchecks main work calendar settings.,I go settings check main calendar events calendar others show up.,But hours later I look calendar got events main work calendar again.,All outlook auxiliary calendar events holidays sports teams Google cal still,,,,,,,,,
This app always easy navigate use.,Ads intrusive excessive case email apps.,However recent months far many spamscam emails getting main inbox always used get filtered directly spam box.,If issue I would giving Outlook five star rating.,,,,,,,,,,,
M version android better...but still misses things .,A huge miss though app lacks ability collapse folderdirectory trees.,Huge pain... . Would nice able set default font formatting use composing emails. .,Same suggestion applies signatures...currently app seems support lists bold italics underline styles Body Subheader Title...none customized configured far tell....,,,,,,,,,,,
I use outlook majority email accounts I am reconsidering allow customization web browser used open links.,I want use Chrome web links outlook recently started forcing Microsoft Edge.,They setting change simply work still opens edge.,I prefer choice.,,,,,,,,,,,
Mostly good.,It crash device maybe twice month that is minor annoyance.,It also seems trouble writingediting relatively long messages goes beyond couple editwindow lengths start behaving strangely hiding row cursor bottom edge edit box example.,Mostly good though still choice.,,,,,,,,,,,
Outlook easiest email system I used.,I enjoy able search key words.,I however love connection contacts phone.,I believe I have approved I probably need spend time turn somewhere.,I always use Outlook everything I competitors.,,,,,,,,,,
Generally app works well.,I used Outlook many years work business computers.,I difficulty getting Android app work Windows app.,For example I cannot figure include incoming email I reply it Windows app does.,,,,,,,,,,,
Update app patched problems mentioned gone Thanks Hello team would like ask assistance together poor rating sorry guys.,Since last update I am able open Outlook inbox anymore.,Tried reinstalling updates default app Android still change.,I receive push notifications email comes I write email using quick command home screen phone inbox simply cannot opened.,Please help,,,,,,,,,,
What idiot put send button close end text area If I move cursor need return back end sentence I accidentally send unfinished emails way recalling.,Put send button accidental reach Other that app excellent.,,,,,,,,,,,,,
It used advert free anymore.,Helps reporting spam phishing emails times.,Not always...,The outlay find thing block list delete contacts needed.,It option keeping important emails sent correspondence sorts.,Above all bad app.,Still needs work it.,More options ways make safe potential hackers.,,,,,,,
Pretty good experience.,I use email accounts including Google accounts.,I love dark mode.,I feel like desktop version could user friendly sometimes hard find setting option I want otherwise pretty solid app ads issues.,,,,,,,,,,,
I love folders storing organizing saved emails however appears impossible delete obsolete folders...,I went deleted several per instructions find emptied deleted folder titles placed top list way get rid them.,From I have read unfathomable reason outlook capable fixing problem.,Why earth would I option delete what is longer needed,,,,,,,,,,,
Overall i am pretty satisfied cannot find way turn email preview notifications even though app locked.,I need open app read email major privacy.,I got paid office subscription.,Also minimise slide shows preview open apps previews whatever email open app.,Its big,,,,,,,,,,
Pretty decent.,The application Samsung phone Samsung tablet let us see email addresses laptop.,It makes log one order log another one.,It is real pain.,I would rather go way back Outlook Express.,,,,,,,,,,
When I reply email thread recent message thread the one I am replying to visible.,I keep scrolling see scrolling back continue composing reply.,It is illogical.,I would expect typing reply top thread recent message directly typing pane.,Indeed Outlook works web browser.,I know Outlook Android clumsy use.,,,,,,,,,
Hello good application bug comes frequently filled description event cannot modified anymore the modification lost update.,You delete event recreate updated description.,Thank help.,,,,,,,,,,,,
Overall good app useful.,However recently calendar started repetitively reminding items.,Seems recurring appointments reminder set day out use app iPad well android PC android.,,,,,,,,,,,,
Love app.,However I many rules set emails automatically placed various folders.,Normally I would use unread email folder.,Like PC.,However app shows unread email within folder.,Not folders therefore I open individual folder read emails.,Is another function use unread emails found.,,,,,,,,
Some folders deleted drafts do.,T sync nut might problem hostserver organisations side.,Otherwise I like apps functionality.,Emails come almost instantly calendar works fantastically with reminders all drafting emails easy UI also relatively easy work with.,,,,,,,,,,,
I like app much problems.,Sometimes I delete email keeps popping back new mail.,I really really hate that wise I like it.,It is easy use I check accounts app.,And NO ads I LOVE,,,,,,,,,,
I satisfied app mostly.,I use manage multiple accounts imap gmail hotmail.,I seen problem I know report your email noreply one Sometimes writing reply potentially attaching file I save draft come back later send it.,The received message end huge.,They got to scroll horizontally vertically view it.,It seems thr signature font size increased fold least.,,,,,,,,,
Good app love easily able get multitude emails necessarily outlook nature.,However app badge times longer shows amount emails currently also stops email notifications put immediately must done manually.,,,,,,,,,,,,,
I like Outlook scrutinise content emails sent me uses content advantage.,It supports also inline links content rich signatures seamlessly works Office .,The feature Outlook I would like setting managing email rules determine Outlook certain emails.,,,,,,,,,,,,
Pretty good Calendar entry rather basic cannot copy appointments accounts copy another date.,Cannot move copy email folder another account.,Cannot restrict contact info access Android account difficult separate work info private info.,Calendar notifications brilliant either front screen use.,The basic stuff work pretty well.,,,,,,,,,,
My issue unsyncing contacts seems fixed great.,I still complaints spam filter quite ineffective recently I quite like design functionality app,,,,,,,,,,,,,
Reliable email account provider occasional spam filtering through definitely secure Yahoo Gmail.,What would great ability keep calendar email open time especially copy info email calendar entry,,,,,,,,,,,,,
Works Very Well.,The mobile app syncs perfectly laptop.,Also I have never experienced technical issues impact apps usage performance.,Outlook Email platform business people.,It is connection calendar seamless wonderful.,,,,,,,,,,
Very good me I added emails app.,I like notifications add reply right side like default give ability change it.,In previous version I delete button time I want delete I push reply button...,It is cool... Give ability change delete.,,,,,,,,,,,
The reply compose text box bottom screen.,Not really good spot it.,Also flag items mark complete.,The buttons bottom switch calendarmail small really visible.,Cannot make Outlook calendar contacts home screen button.,Cannot adjust sync schedule,,,,,,,,,
Still best pim tool around.,However finer control search items would appreciated.,Syncing contacts across devices apps prompt could be however may Android issue.,,,,,,,,,,,,
This app excellent.,The one big miss option Gmail reviewing emails.,When I delete email viewed inbox I would like see next previous email inbox.,Right I booted back full inbox click next message.,This request made many directly Microsoft ignored years.,With option ability chose theme driven political agenda would make app irreplaceable.,,,,,,,,,
Very good overall.,Just suggestion calendar widget like Google calendar Big monthly widget instead event coming soon list only.,I still use Google calendar function actually I using many Microsoft products.,It could useful.,Also sync Microsoft To Do list calendar like Google sync Tasks Google Calendar.,Hope see improvement soon.,,,,,,,,,
Microsoft Outlook exceptionally helpful safe app helps stay linked effective.,I enjoy benefit able access email data well calendar one location.,It is easy arrange email filters aid swiftly discover I require.,I also appreciate spam email defense maintains inbox without scrap unwanted messages.,Generally I extremely recommend Microsoft Outlook individual looking safe trusted email,,,,,,,,,,
This app enabled check emails calendar events phone ease long time.,However frustration inability perform certain tasks so I go main email site computer.,Oh hate forced Ad email started long ago.,,,,,,,,,,,,
In Windows Android restricts ability create multiple subfolders Email formats Windows allows.,Thankfully overcome connecting Windows creating required additional subfolders.,But still much superior Gmail however Android built older technology Linux built Unix one original OSs Internet built on.,I love To Do app allows management To Do lists Email calendar,,,,,,,,,,,
It lost one star calendar function annoying.,Outlook personal account however I also Office work account.,I want calendars sync nothing else sleepy face I gave tried sync accounts Samsung Phone Calendar again go well.,So perhaps future updates pay attention making sync userfriendly seamless.,,,,,,,,,,,
The app features signature desktop version has.,I would like sometimes need able send work emails phone contains work email signature.,Fir themus reason I use app work email forced use another email app allow signatures.,,,,,,,,,,,,
The app easy use interface pretty.,I will rate stars focused inbox nuisance feature filter important emails since splits inbox things know appear I personally disabled it.,,,,,,,,,,,,,
On whole great app.,Usefully combines work personal emails calendars one combined platform.,One two features I would like see include moving next email rather returning main email list e.g.,Googles Gmail app.,Also there is big delay getting actual notification emails arrive.,Most time I have already seen filed deleted emails get notification.,,,,,,,,,
Got use outlook due default school system.,To honest I enjoy working webpage version better.,Yet app provide friendly interface users.,,,,,,,,,,,,
Helps manage eventsmeetings quite well overall quite userfriendly.,Only thing I find bit frustrating things UI able scroll look email I am replying reference instead completely exit draft look again.,Otherwise I recommend it.,Good work tasks.,,,,,,,,,,,
If press back signature options typing signature want have neither saveupdate signature warn pressing back changes discarted.,It one these preferably second.,And Microsoft thing conforming Monet guidelines makes every app look like sore thumb.,I am going stop using soon fixed.,,,,,,,,,,,
Why phone version Outlook Blocking andor sending sender Junk folder work It works fine Office version one.,Could please rectify future updates Thanks.,,,,,,,,,,,,,
Latley outlook loading crashing.,I am deleting outlook app issues resolved.,Before December th worked well part.,Update Working lot better since last review.,,,,,,,,,,,
Reliable.,Wish easier add people safe mailing list.,Mail lists little cumbersome too.,They could better job filtering junk mail.,But overall good app.,,,,,,,,,,
A decent app integrates really well Microsoft .,I issue calendar sync to Android default calendar stopping nowhere.,It needs fix.,,,,,,,,,,,,
Second account add Issue I am try add another account gmail end blong Microsoft Outlook account soon I am fill password shows authenticating ask password thing happening loop I cannot even log second account Outlook app.,Please fix issue soon possible,,,,,,,,,,,,,
Great compared access email via web browser.,Unfortunately I able sort messages various options would useful.,Also search email seem work all.,,,,,,,,,,,,
great would love able swipe left right emails gone go email one reading.,Much like functionality Gmail,,,,,,,,,,,,,
Only drawback might setup follow link email opens actual email program rather separate browser.,This means get back email link without closing window linked .,This often problem.,,,,,,,,,,,,
Hate fact email services run ads.,Id prefer option disable such.,Nonetheless I still preffer outlook gmail.,The layout organization superb I really enjoy features has.,Could perfect without ads.,,,,,,,,,,
The differences app works different platforms confusing.,On iPad good marginally better Samsung phone really good PC.,Microsoft please improve performance usability platform make behave like Windows PC version app.,,,,,,,,,,,,
Loving changes.,However sorting desktop app.,I desktop app set Pinned Received date would nice pinned emails top mobile version well least able change sorting.,,,,,,,,,,,,
After short breakin period annoyance I have come like current Outlook experience better old version.,Thanks.......With features way learn use them series You Tube tutorials,,,,,,,,,,,,,
I work account personal account seamlessly swap whether PC mobile.,UI could use options personalize mailbox visuals nononsense program exactly describes.,,,,,,,,,,,,,
Pretty good although I sometimes trouble sending emails.,I occasionally get error app says unable deliver message.,But I send browser perfectly fine.,,,,,,,,,,,,
Works well overall.,It missing features desktop version I use even though I active Microsoft subscription.,These include font size editing least way add andor edit existing style support multiple signatures similar font editing capabilities well.,,,,,,,,,,,,
Great App.,I use emails.,I currently challenges adding Yahoo premium Mail Outlook App.,It keeps saying Authentication Error please try time.,I looked issue realised people reporting solution yet to.,Please Help.,,,,,,,,,
Very good except still sends new mail notifications emails already deleted another device.,Googling issue reveals happening years action taken fix it.,So I added Microsoft account Gmail app use that.,Shame app otherwise pleasure use.,,,,,,,,,,,
While I hate Microsoft numerous reasons I say singularly best EmailCalendar client Android.,I like Calendar widget separate light dark theme I really think light theme Calendar widget.,,,,,,,,,,,,,
Mostly positive.,I want storage without upgrade.,Our storage full cut sending receiving emails days trying clean up.,We missed important emails never able recover.,Other love Outlook,,,,,,,,,,
Edit almost year I unable use personal account via IMAP.,However finally appear fixed problem.,With functionality restored application works quite well,,,,,,,,,,,,
Outlook good program.,However could better.,For example calender versatile Google calendar fewer functions eg.,reminders.,,,,,,,,,,,
It great tool organise mails although I failed schedule send feature twice never tried again.,Created schedule send mail reason get sent go outbox hit send now.,,,,,,,,,,,,,
A really great multifunctional calendar email app.,Helpful simple easy use.,Personally I would prefer customizable calendar layout apps reliability lack technical difficulties make easy forgive aesthetic shortcomings.,,,,,,,,,,,,
I used Outlook since .,It done lot change times.,Though occasional glitches still comprehensive email program I have ever seen.,It effective business email.,,,,,,,,,,,
App WAS great.,All sudden I am getting push notifications outlook big issue me.,I have tried restarting phone app date I allow push notifications... i am loss,,,,,,,,,,,,
Would like link indicator reply sent Inbox.,Fairly easy navigate.,The calendar great reminders anniversaries.,UNDO delete move etc.,useful.,RESTORE deleted emails used scary select restore.,,,,,,,,,
Very good.,But sometimes I get frustrated limitations sending attached files especially photos.,However happen enough stop using app.,Pleased overall.,,,,,,,,,,,
I made switch google verse Microsoft paid services I am actually impressed Outlook.,I feel organized using Outlook.,Google services fragmented.,I need email email.,I promise MS would get search users changed Bings name Clippy needs happen As Soon As Possible,,,,,,,,,,
I issue today almost cost fine.,I get should get email notifications VicRoads informing car registration due.,I always opened emails VicRoads yet..... For reason unknown last emails gone junk mail.,This meant I receive email notifications car registration due.,Thus meaning I driving unregistered car days.,Today I pulled police driving unregistere,,,,,,,,,
I enjoy working Outlook everything I need.,It also easy application use.,I also find that is put together organized clean viewing manner.,They offer lot I keep using it.,,,,,,,,,,,
Wonderfully easy use.,Having difficulty erasing nonexistent email account.,Tired daily messages remove it.,Have trying years now.,,,,,,,,,,,
It plays many types audio files organize large library well.,I found issue though.,When I start song different album what is playing audio cuts couple seconds.,A small bug that is little annoying enough issue consider another app.,,,,,,,,,,,
Honestly cannot go wrong open source videoaudio player that is works decades.,One issue I currently updating Samsung phone whenever I cast TV via smart view crashes trying play video files.,I tap video plays like .,second boots back media library.,Samsungs android notifies there is bug app I know why.,Hopefully get fixed.,,,,,,,,,
Works quite well noticed bugs.,The things get way way lists downloads fact there is auto shuffle playlists.,You shuffle open playlist I get over way downloads way sort download date search song works.,Sometimes It pull song even put name exactly really touch go want search artist.,,,,,,,,,,,
No ads Missing ZOOM No sort date length size.,Also NOT let rename files edit tags.,It also cannot CAST devices.,Good works without bugs No ads bloat perfect minimalist player.,The mp part missing key functionality Making movie player.,I use separate app music many mp features lacking.,The biggest issue NO WAY edit file meta data.,You cannot change songs genre type tags.,No file tag editing,,,,,,
I have using VLC ever since Google killed Play Music.,There bug past months would prevent music resuming playback automatically seems resolved recent update.,It seems VLS returned former glory I am thrilled it.,,,,,,,,,,,,
Since death Play Music goto media phone.,It works pretty well I also use listen soma.fm Android auto capability.,My complaint Android Auto interface itself.,I lot albums phone ones I listen frequently towards bottom list every time I go back albums takes way top I scroll again.,,,,,,,,,,,
Normally I would give app five stars I using long time.,The recent version buggy audiophiles resume playback right place hit second rewind button.,The threedot menu right file missing making impossible delete files VLC,,,,,,,,,,,,
I am long time VLC user.,It is default desktop mobile media player.,App wise I one real complaint.,On Samsung Galaxy S FE there is persistent notification badge top.,I see within swipedown notifications.,I would like option persistent badge realize still open I need close it.,Also sometimes app shows paused swipedown reboot.,But overall app media player I love it.,,,,,,,
If watching video switch anything else plays background close app find back try watch video audio resume video cannot get play actual video.,EDIT The long press cover brings green screen Pixel a playing webm,,,,,,,,,,,,,
ALMOST like full computer app.,major difference absolute requirement go app find media want played.,Otherwise basically finger wag.,I think saved held library would nicer hold button media pick vlc rather go app.,,,,,,,,,,,
This versatile well known media player existence.,Cross platform.,No BS.,My complaint rescanning media hit miss.,Sometimes works sometimes takes long scans sometimes stubborn I delete app data settings reconfigure find new files.,Autoscan never works.,No matter scanning always slow.,,,,,,,,
Great audio video player.,Computer program better though.,I guess one recent updates cannot view player locked screen anymore also top see notifications stuff.,It convenient use before.,Also shuffle shuffle well.,It is random enough repetitive.,Still good player good computer prior version.,,,,,,,,
Not exactly intuitive takes get used to repeatedly wants reload entire library.,Also full control via Bluetooth car cannot select specific songs using cars controls least I skip fwd shuffle.,Sound quality good crash get used it bad.,A big plus plays WMA files Much music became unplayable phone idiots Samsung decided stop supporting WMA.,Thank VLC,,,,,,,,,,
When Google Play Music shut down recommended VLC longest while best media player I have able find.,But writing last update add features useful also broke app.,Randomly decide crash especially trying pick song.,Also still annoyed randomly decide reset shufflerepeat status playlist try pick new song list.,,,,,,,,,,,
This app pretty good.,Plays lot file formats intended perfectly.,I also group music video make playlists.,But really feature I feel really missing.,Sort date video section.,I serious I cannot search videos specific file name time.,You sort date audio video.,Other that app great.,,,,,,,
I use mainly listening audio books works fine is I would give stars option go back seconds instead restarting entire track over.,Sometimes I get distracted pan back pain open app input time jump option nearly impossible use slider content hours,,,,,,,,,,,,,
I use listening classical music albums.,It mostly works well.,The music displayed nicely according metadata user interface good.,Format support good.,However pause button functionality.,A minutes clicking pause button last song longer displayed place lost.,This seems like basic music player function.,Other music players able keep track last place ALL music history function.,Unfortunately players huge bugs inept metadata handling.,So VLC looks like best moment.,,,,,
Use casting generally fantastic.,I would give stars I am couple really obnoxious issues.,First I minimize VLC casting stop playing seconds I marked settings continue playing.,Second worst all I connect Bluetooth VLC automatically open background play whatever I streamed last there is apparent way stop even pause it.,It is extremely annoying even reinstalled.,,,,,,,,,,
